Threshold,Sensitivity,Specificity,Precision,F1-score
0.5,0.0667,0.9994,0.4286,0.1154
0.4,0.1556,0.9986,0.4375,0.2295
0.3,0.2444,0.9945,0.234,0.2391
0.2,0.4,0.9854,0.1593,0.2278
0.1,0.5778,0.9646,0.1016,0.1728
0.05,0.6667,0.9453,0.0779,0.1395
