Test Patient,Test Windows,Actual Seizure Events,Detected Events,Sensitivity (%),Specificity (%),Precision (%),F1 (%),ROC-AUC (%),Avg Precision (%),Seizure Coverage (%),Detection Delay (sec),FP Events/Hour
CHB02,6539,3,3,66.67,94.53,7.79,13.95,93.08,16.66,66.28,3.33,37.03
CHB03,34201,7,3,25.47,98.5,5.03,8.4,86.58,4.35,26.37,9.67,5.68
