consecutive_windows,confirmation_time_seconds,accuracy,precision,sensitivity,specificity,f1_score,balanced_accuracy,TN,FP,FN,TP
1,4,0.988280315713944,0.6,0.9863013698630136,0.9883154819863681,0.7461139896373056,0.9873084259246909,4060,48,1,72
2,8,0.9961731643147572,0.8275862068965517,0.9863013698630136,0.99634858812074,0.9,0.9913249789918768,4093,15,1,72
3,12,0.9980865821573787,0.9113924050632911,0.9863013698630136,0.9982960077896786,0.9473684210526315,0.9922986888263461,4101,7,1,72
5,20,0.9990432910786893,1.0,0.9452054794520548,1.0,0.971830985915493,0.9726027397260274,4108,0,4,69
