Threshold,Accuracy,Precision,Sensitivity,Specificity,F1_Score,Balanced_Accuracy,TN,FP,FN,TP
0.1,0.9897153790959101,0.65625,0.863013698630137,0.9919668938656281,0.7455621301775148,0.9274902962478826,4075,33,10,63
0.2,0.9916287969385315,0.8518518518518519,0.6301369863013698,0.9980525803310614,0.7244094488188977,0.8140947833162155,4100,8,27,46
0.3,0.9878019612532887,0.8235294117647058,0.3835616438356164,0.998539435248296,0.5233644859813084,0.6910505395419562,4102,6,45,28
0.4,0.9873236067926333,0.8125,0.3561643835616438,0.998539435248296,0.49523809523809526,0.6773519094049699,4102,6,47,26
0.5,0.9873236067926333,0.8333333333333334,0.3424657534246575,0.9987828627069133,0.4854368932038835,0.6706243080657854,4103,5,48,25
0.6,0.9870844295623057,0.88,0.3013698630136986,0.999269717624148,0.4489795918367347,0.6503197903189233,4105,3,51,22
0.7,0.986127720640995,0.9411764705882353,0.2191780821917808,0.9997565725413826,0.35555555555555557,0.6094673273665817,4107,1,57,16
0.8,0.9851710117196842,0.9230769230769231,0.1643835616438356,0.9997565725413826,0.27906976744186046,0.5820700670926091,4107,1,61,12
