Metric,CHB02,CHB03,Absolute Change,Relative Change (%)
Sensitivity (%),66.67,25.47,-41.2,-61.79691015449228
Specificity (%),94.53,98.5,3.969999999999999,4.199724955040727
Precision (%),7.79,5.03,-2.76,-35.43003851091142
F1 (%),13.95,8.4,-5.549999999999999,-39.78494623655913
ROC-AUC (%),93.08,86.58,-6.5,-6.983240223463687
Avg Precision (%),16.66,4.35,-12.31,-73.88955582232893
Seizure Coverage (%),66.28,26.37,-39.91,-60.21424260712129
Detection Delay (sec),3.33,9.67,6.34,190.3903903903904
FP Events/Hour,37.03,5.68,-31.35,-84.6610856062652
